,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
175,Roanoke Rapids,US,77.34,overcast clouds,36.4615,-77.6542,Hampton Inn Roanoke Rapids
177,Maragogi,BR,78.08,few clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
178,Sumenep,ID,79.65,broken clouds,-7.0167,113.8667,OYO 3271 Homestay Pandian
184,Asyut,EG,88.7,clear sky,27.181,31.1837,فندق ميس إيجيبت Miss Egypt Hotel
188,Faanui,PF,78.6,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
190,Bintulu,MY,75.22,moderate rain,3.1667,113.0333,900 Boutique INN
192,Poggibonsi,IT,79.83,overcast clouds,43.4724,11.1456,Hotel Villa San Lucchese
193,Hithadhoo,MV,81.57,broken clouds,-0.6,73.0833,Scoop Guest House
205,Padang,ID,76.46,overcast clouds,-0.9492,100.3543,Mercure Padang
206,Silver City,US,81.68,clear sky,32.7701,-108.2803,Copper Manor Motel
211,Houma,US,84.0,clear sky,29.5958,-90.7195,Courtyard by Marriott Houma
215,Tuy Hoa,VN,77.29,broken clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
218,Sinnamary,GF,84.87,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
221,Katsuura,JP,75.61,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
222,Huescar,ES,81.12,broken clouds,37.811,-2.5412,Hotel El Maño
224,Marzuq,YE,82.24,broken clouds,14.4,46.4667,حيد القفلة
225,Bud,US,79.68,clear sky,39.447,-86.1758,Ted McQuinn Trust
228,Ixtapa,MX,86.23,overcast clouds,20.7,-105.2,hotel la terminal
229,Bandarbeyla,SO,77.29,few clouds,9.4942,50.8122,JABIR HOTEL
232,Zharkent,KZ,78.26,broken clouds,44.1628,80.0,гостиница Satti
235,Belem,BR,84.24,broken clouds,-1.4558,-48.5044,Mercure Belém Boulevard
240,Salalah,OM,77.09,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
242,Nouadhibou,MR,78.06,clear sky,20.931,-17.0347,El Medina
245,Carutapera,BR,85.01,few clouds,-1.195,-46.02,Lidera
247,Piacabucu,BR,77.11,scattered clouds,-10.4056,-36.4344,Piaçabuçu News
248,Indramayu,ID,77.14,moderate rain,-6.3264,108.32,Grand Trisula Hotel
250,Matara,LK,76.84,broken clouds,5.9485,80.5353,Amaloh Boutique Resort
255,Tual,ID,80.67,scattered clouds,-5.6667,132.75,Grand Vilia Hotel
258,Chenghai,CN,77.29,scattered clouds,23.4632,116.768,Guangdong Hotel
259,Coahuayana,MX,89.53,broken clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
260,Sabang,ID,82.17,overcast clouds,5.8933,95.3214,Hotel Citra
273,Sibolga,ID,75.81,broken clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
274,Jimeta,NG,76.17,overcast clouds,9.2833,12.4667,Yola International Hotel
275,Lalmohan,BD,84.83,overcast clouds,22.3384,90.7419,Arifur Rahman Miraj
277,Gillette,US,82.11,few clouds,44.2911,-105.5022,National 9 Inn - Gillette WY
280,Iralaya,HN,85.89,scattered clouds,15.0,-83.2333,Iglesia morava renovada
281,Pitimbu,BR,82.99,broken clouds,-7.4706,-34.8086,Reserva do Abiaí
289,Sao Filipe,CV,78.8,scattered clouds,14.8961,-24.4956,Hotel Xaguate
292,Clinton,US,83.44,few clouds,42.587,-82.9199,River's Edge
293,Howard Springs,AU,76.91,few clouds,-12.497,131.047,buffalo beach hostel
295,Daru,PG,77.99,overcast clouds,-9.0763,143.2092,Daru Lodge
299,Bernal,PE,80.35,clear sky,-5.45,-80.75,Plaza de Armas Bellavista de La Unión
303,Ozieri,IT,75.92,overcast clouds,40.586,9.0012,B&B Santu Larentu
304,Los Alamos,US,79.97,clear sky,35.8881,-106.307,"Holiday Inn Express & Suites Los Alamos Entrada Park, an IHG Hotel"
306,Miri,MY,76.15,overcast clouds,4.4148,114.0089,"Mega Hotel, Miri"
307,Alofi,NU,76.12,scattered clouds,-19.0595,-169.9187,Taloa Heights
308,Hambantota,LK,78.46,overcast clouds,6.1241,81.1185,Bungalow 63
312,Upleta,IN,83.8,light rain,21.7333,70.2833,Salman odiya homes
313,Victoria,HK,84.25,broken clouds,22.2855,114.1577,Mini Central
314,Kahului,US,82.42,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
315,Saint Anthony,US,86.94,clear sky,45.0205,-93.218,Holiday Inn Express Roseville-St. Paul
318,Ballesteros,PH,80.73,overcast clouds,18.4126,121.5152,De Leon Hotel
325,Champerico,GT,84.67,broken clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
335,Eyl,SO,77.41,broken clouds,7.9803,49.8164,Amiin Hotel
338,Dunmore Town,BS,83.41,clear sky,25.5,-76.65,Coral Sands Hotel
341,Ardakan,IR,87.06,clear sky,32.31,54.0175,Ardakan Hotel
345,Karpathos,GR,75.16,few clouds,35.507,27.2132,Alex
347,Guimbal,PH,79.54,overcast clouds,10.6633,122.3228,Shamrock Beach Resort
349,Kavaratti,IN,79.41,overcast clouds,10.5669,72.642,Green leaf
351,Wad Madani,SD,87.75,light rain,14.4012,33.5199,فندق يوغسلافيا
