City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
110,Flinders,-34.5833,150.8552,63.05,80,98,5.99,AU,overcast clouds
111,Port Alfred,-33.5906,26.891,61.3,89,2,10.87,ZA,clear sky
112,San Carlos De Bariloche,-41.1456,-71.3082,40.01,57,40,17.27,AR,scattered clouds
113,New Norfolk,-42.7826,147.0587,47.91,82,89,1.45,AU,overcast clouds
114,Simao,22.7886,100.9748,61.79,81,77,2.75,CN,broken clouds
115,Jiuquan,39.7432,98.5174,65.61,20,0,1.92,CN,clear sky
116,Talnakh,69.4865,88.3972,30.2,82,10,2.44,RU,clear sky
117,Umea,63.8284,20.2597,31.93,100,0,3.44,SE,clear sky
118,Katsuura,35.1333,140.3,77.02,85,47,14.27,JP,scattered clouds
119,Hamilton,39.1834,-84.5333,80.65,54,60,5.01,US,broken clouds
120,Mangai,-4.05,19.5333,74.48,81,46,1.7,CD,scattered clouds
121,Lebu,-37.6167,-73.65,47.68,61,43,11.36,CL,scattered clouds
122,Saint-Philippe,-21.3585,55.7679,69.39,74,15,5.73,RE,few clouds
123,Pevek,69.7008,170.3133,42.22,65,7,13.51,RU,clear sky
124,Sao Jose Da Coroa Grande,-8.8978,-35.1478,73.63,71,1,9.75,BR,clear sky
125,Hasaki,35.7333,140.8333,73.8,85,66,15.9,JP,broken clouds
126,Tevaitoa,-16.7833,-151.5,78.17,74,11,21.97,PF,few clouds
127,Brooks,50.5834,-111.8851,92.82,14,99,16.11,CA,overcast clouds
128,Umm Kaddadah,13.6017,26.6876,79.39,63,100,17.49,SD,light rain
129,Pabellon De Hidalgo,22.1667,-102.35,75.04,50,97,4.18,MX,overcast clouds
130,Gweta,-20.1833,25.2333,62.4,65,0,14.05,BW,clear sky
131,Dwarka,22.2394,68.9678,81.09,76,1,13.27,IN,clear sky
132,Provideniya,64.3833,-173.3,48.36,81,100,8.99,RU,overcast clouds
133,Upernavik,72.7868,-56.1549,37.83,81,98,5.08,GL,overcast clouds
134,Hermanus,-34.4187,19.2345,52.81,88,3,8.21,ZA,clear sky
135,Ribeira Grande,38.5167,-28.7,75.99,91,100,18.3,PT,light rain
136,Salinopolis,-0.6136,-47.3561,79.74,80,96,12.24,BR,overcast clouds
137,Aguimes,27.9054,-15.4461,72.23,73,75,25.01,ES,broken clouds
138,Kamiiso,41.8167,140.65,57.58,82,40,4.61,JP,scattered clouds
139,Birao,10.2849,22.7882,72.77,95,100,3.6,CF,moderate rain
140,Takoradi,4.8845,-1.7554,74.5,92,4,6.91,GH,clear sky
141,Chantada,42.6088,-7.7712,60.55,94,87,3.62,ES,overcast clouds
142,Sao Joao Da Barra,-21.6403,-41.0511,71.69,72,88,20.0,BR,overcast clouds
143,Lafiagi,8.8667,5.4167,73.56,96,87,3.47,NG,overcast clouds
144,Alofi,-19.0595,-169.9187,80.49,69,40,12.66,NU,scattered clouds
145,Avera,33.194,-82.5271,87.85,45,100,5.97,US,overcast clouds
146,Davidson,36.1501,-86.7833,85.12,54,0,15.99,US,clear sky
147,Ayotzintepec,17.6667,-96.1333,80.64,93,100,3.31,MX,overcast clouds
148,Sisimiut,66.9395,-53.6735,39.36,96,100,8.34,GL,overcast clouds
149,Kapit,2.0167,112.9333,71.69,99,67,0.43,MY,broken clouds
150,Chancay,-11.5714,-77.2672,61.63,77,50,9.15,PE,scattered clouds
151,Kapaa,22.0752,-159.319,85.1,72,16,5.99,US,few clouds
152,Tiksi,71.6872,128.8694,41.79,84,97,6.73,RU,overcast clouds
153,Peredovaya,44.1172,41.4756,45.75,71,10,4.59,RU,clear sky
