,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
94,Hami,CN,76.95,clear sky,42.8,93.45,Laoyutang Resort
99,Labuhan,ID,76.82,broken clouds,-6.8844,112.2051,DoubleFAG
102,Hilo,US,88.29,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
103,Nouadhibou,MR,75.18,few clouds,20.931,-17.0347,El Medina
105,Sao Felix Do Xingu,BR,86.65,broken clouds,-6.6447,-51.995,Rio Xingu Camping
107,San Pedro,PH,79.83,few clouds,14.35,121.0167,Palines Apartment and Guesthouse
108,Novita,CO,78.31,broken clouds,4.9551,-76.6053,B/ Buenos Aires Sector Las Curvitas
118,Katsuura,JP,77.02,scattered clouds,35.1333,140.3,Katsuura Hotel Mikazuki
119,Hamilton,US,80.65,broken clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
126,Tevaitoa,PF,78.17,few clouds,-16.7833,-151.5,Hôtel Raiatea Lodge
128,Umm Kaddadah,SD,79.39,light rain,13.6017,26.6876,
129,Pabellon De Hidalgo,MX,75.04,overcast clouds,22.1667,-102.35,Estancia Miralo
131,Dwarka,IN,81.09,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
135,Ribeira Grande,PT,75.99,light rain,38.5167,-28.7,Quinta da Meia Eira
136,Salinopolis,BR,79.74,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
144,Alofi,NU,80.49,scattered clouds,-19.0595,-169.9187,Taloa Heights
145,Avera,US,87.85,overcast clouds,33.194,-82.5271,
146,Davidson,US,85.12,clear sky,36.1501,-86.7833,Best Western Plus Music Row
147,Ayotzintepec,MX,80.64,overcast clouds,17.6667,-96.1333,"Hotel ""Punta del Cerro"""
151,Kapaa,US,85.1,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
155,Olinda,BR,76.73,few clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
161,Kudahuvadhoo,MV,82.17,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
164,Acapulco,MX,84.56,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
167,Banda Aceh,ID,78.94,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
169,Cockburn Town,TC,83.46,clear sky,21.4612,-71.1419,Osprey Beach Hotel
173,Pundaguitan,PH,81.48,scattered clouds,6.3711,126.1689,Leonardo Family Beach House 1
175,Balkanabat,TM,80.62,overcast clouds,39.5108,54.3671,Nebitchi Hotel
179,Kulhudhuffushi,MV,80.67,overcast clouds,6.6221,73.07,Haajy Guest House 1
182,Chabahar,IR,78.69,few clouds,25.2919,60.643,هتل گدروشیا
185,Rucheng,CN,75.97,overcast clouds,32.3883,120.5553,Vienna Hotel Rugao Zhengxiang Square
189,Gizo,SB,82.26,scattered clouds,-8.103,156.8419,Imagination Island
201,Biltine,TD,81.46,overcast clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
206,Huangmei,CN,76.57,overcast clouds,30.1924,116.025,Tianxiachan Hotel
207,Kasongo-Lunda,CD,76.39,broken clouds,-6.4667,16.8167,
208,Auburn,US,81.73,overcast clouds,47.3073,-122.2284,La Quinta Inn & Suites by Wyndham Auburn
209,Bonthe,SL,76.62,light rain,7.5264,-12.505,Bonthe Holiday Village
210,Anori,BR,86.63,broken clouds,-3.7728,-61.6442,Novo Hotel 5 Irmãos
215,Quepos,CR,79.47,broken clouds,9.4236,-84.1652,Jungle Beach Hotel at Manuel Antonio
216,Puerto Escondido,MX,84.56,broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
221,Kavaratti,IN,79.47,overcast clouds,10.5669,72.642,Green leaf
226,Bubaque,GW,80.74,moderate rain,11.2833,-15.8333,"Casa Dora, Bubaque"
232,Lazaro Cardenas,MX,84.65,scattered clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
237,Ligayan,PH,82.47,overcast clouds,4.6533,119.4706,
242,Sao Filipe,CV,78.71,broken clouds,14.8961,-24.4956,Hotel Xaguate
244,Portland,US,87.82,scattered clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
245,Kailua,US,87.03,scattered clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
252,Puerto Narino,CO,83.39,broken clouds,-3.7703,-70.3831,Eware Refugio Amazonico
253,Limbe,CM,76.42,scattered clouds,4.0242,9.2149,The LK Hotel at Bonadikombo
257,Mandera,KE,77.58,overcast clouds,3.9366,41.867,Red Sea Resort & Suites Mandera County
258,Touros,BR,75.38,clear sky,-5.1989,-35.4608,INN NEW HORIZON
259,Brookhaven,US,83.8,scattered clouds,31.5791,-90.4407,Americas Best Value Inn Brookhaven
262,Wattegama,LK,76.17,overcast clouds,6.7989,81.4808,
270,Qui Nhon,VN,76.23,overcast clouds,13.7667,109.2333,Seagull Hotel
275,Umrala,IN,83.89,broken clouds,21.8333,71.8167,Mer's House
279,San Quintin,MX,82.83,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
284,Panaba,MX,86.13,broken clouds,21.2833,-88.2667,Hotel Don Fernando
286,Abnub,EG,82.92,clear sky,27.2696,31.1511,دوار ال عبد الجواد شرق البلد بابنوب
287,Bandarbeyla,SO,76.93,clear sky,9.4942,50.8122,JABIR HOTEL
