City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
112,Tuktoyaktuk,69.4541,-133.0374,42.8,87,100,5.75,CA,overcast clouds
113,East London,-33.0153,27.9116,66.72,85,1,6.38,ZA,clear sky
114,Bengkulu,-3.8004,102.2655,76.28,84,100,3.29,ID,overcast clouds
115,Cape Town,-33.9258,18.4232,59.34,80,10,12.82,ZA,clear sky
116,Humaita,-7.5061,-63.0208,104.7,21,30,4.99,BR,scattered clouds
117,Hilo,19.7297,-155.09,80.62,88,100,9.22,US,haze
118,Eydhafushi,5.1033,73.0708,80.64,84,100,15.05,MV,overcast clouds
119,Bafq,31.6128,55.4107,85.32,9,0,4.45,IR,clear sky
120,Port Hardy,50.6996,-127.4199,56.64,77,66,12.77,CA,broken clouds
121,Zorritos,-3.6805,-80.6782,77.29,67,21,13.71,PE,few clouds
122,Coihaique,-45.5752,-72.0662,46.35,49,40,3.44,CL,scattered clouds
123,Kiama,-34.6833,150.8667,60.58,87,100,5.01,AU,light rain
124,Omboue,-1.5746,9.2618,75.87,82,77,8.03,GA,broken clouds
125,Verkhoyansk,67.5447,133.385,42.55,84,100,6.69,RU,overcast clouds
126,Miramar,25.9873,-80.2323,96.01,62,75,16.11,US,broken clouds
127,Dunedin,-45.8742,170.5036,42.8,88,88,4.0,NZ,overcast clouds
128,Guane,22.2025,-84.0875,86.65,65,51,7.58,CU,broken clouds
129,Chateaubelair,13.2833,-61.25,83.43,70,74,10.4,VC,broken clouds
130,Sangar,63.9242,127.4739,36.7,91,9,3.44,RU,clear sky
131,Bethel,41.3712,-73.414,79.57,59,75,3.44,US,broken clouds
132,Bonavista,48.6499,-53.1147,55.94,66,76,18.1,CA,broken clouds
133,Norman Wells,65.282,-126.8329,52.97,53,80,8.16,CA,broken clouds
134,Georgetown,5.4112,100.3354,79.9,87,20,2.3,MY,few clouds
135,Abaza,52.655,90.0928,53.85,79,100,1.66,RU,light rain
136,Qaanaaq,77.484,-69.3632,33.58,81,84,6.29,GL,broken clouds
137,Kasongo-Lunda,-6.4667,16.8167,80.29,62,95,1.63,CD,overcast clouds
138,Oranjestad,12.524,-70.027,83.98,72,88,12.57,AW,overcast clouds
139,Darnah,32.767,22.6367,76.12,66,0,16.31,LY,clear sky
140,Abomsa,9.9833,39.9833,73.98,60,36,5.35,ET,light rain
141,Pascagoula,30.3658,-88.5561,88.52,65,75,4.61,US,broken clouds
142,Kamenka,51.3223,42.7678,48.09,73,95,4.7,RU,overcast clouds
143,Tura,25.5198,90.2201,74.97,94,36,4.27,IN,scattered clouds
144,Praia Da Vitoria,38.7333,-27.0667,79.75,90,37,14.34,PT,scattered clouds
145,Pevek,69.7008,170.3133,41.41,70,94,22.12,RU,overcast clouds
146,Talakan,50.3167,130.3667,42.01,87,6,2.06,RU,clear sky
147,Namatanai,-3.6667,152.4333,79.12,80,100,7.38,PG,overcast clouds
148,Malanje,-9.5402,16.341,83.07,20,33,2.01,AO,scattered clouds
149,Ilulissat,69.2167,-51.1,46.42,53,75,13.8,GL,broken clouds
150,Aktash,50.3,87.7333,45.88,71,81,3.38,RU,broken clouds
151,Big Rapids,43.6981,-85.4837,82.09,41,0,4.61,US,clear sky
152,Meylan,45.2199,5.7901,74.64,72,98,1.5,FR,overcast clouds
153,Chuy,-33.6971,-53.4616,70.7,57,4,7.25,UY,clear sky
154,Castro,-24.7911,-50.0119,76.01,53,37,9.6,BR,scattered clouds
155,Santiago Del Estero,-27.7951,-64.2615,80.91,16,56,23.76,AR,broken clouds
156,Nusaybin,37.0778,41.2178,78.39,18,0,9.22,TR,clear sky
157,Nanortalik,60.1432,-45.2371,45.21,79,97,6.82,GL,overcast clouds
158,Mookane,-23.688,26.6595,71.58,32,0,3.94,BW,clear sky
159,Kodiak,57.79,-152.4072,60.31,72,75,9.22,US,broken clouds
160,Vila Velha,-20.3297,-40.2925,78.75,70,20,19.57,BR,few clouds
161,Flinders,-34.5833,150.8552,60.39,87,100,4.0,AU,light rain
162,Port-Gentil,-0.7193,8.7815,76.96,83,40,11.5,GA,scattered clouds
163,Quatre Cocos,-20.2078,57.7625,70.09,74,7,13.06,MU,light rain
164,Fonte Boa,-2.4959,-66.2662,90.12,53,85,1.7,BR,overcast clouds
165,Bakel,14.905,-12.4568,88.32,62,98,6.64,SN,overcast clouds
166,Praxedis Guerrero,31.3667,-106.0167,85.46,31,99,9.4,MX,overcast clouds
167,Sorland,67.667,12.6934,49.86,76,0,13.8,NO,clear sky
168,Makakilo City,21.3469,-158.0858,79.12,74,0,10.36,US,clear sky
169,Amalapuram,16.5833,82.0167,74.79,98,100,4.99,IN,overcast clouds
170,Sai Buri,6.7013,101.6168,78.17,84,99,4.45,TH,overcast clouds
171,Riyadh,24.6877,46.7219,96.35,11,0,7.52,SA,clear sky
172,Panguna,-6.3164,155.4848,66.78,97,99,2.57,PG,overcast clouds
173,Port Elizabeth,-33.918,25.5701,63.1,91,100,13.8,ZA,overcast clouds
174,Ventanas,-1.45,-79.4667,85.68,53,86,5.57,EC,overcast clouds
175,Roanoke Rapids,36.4615,-77.6542,77.34,73,100,8.05,US,overcast clouds
176,Preston,53.7667,-2.7167,64.62,77,40,3.44,GB,scattered clouds
177,Maragogi,-9.0122,-35.2225,78.08,63,12,10.29,BR,few clouds
178,Sumenep,-7.0167,113.8667,79.65,81,70,4.88,ID,broken clouds
179,Tessalit,20.1986,1.0114,101.26,10,14,13.67,ML,few clouds
180,Bayji,34.9311,43.487,95.59,17,0,9.42,IQ,clear sky
181,Sioux Lookout,50.1001,-91.917,71.67,78,100,11.5,CA,overcast clouds
182,Canon City,38.441,-105.2424,94.01,17,0,5.01,US,clear sky
183,Pisco,-13.7,-76.2167,62.65,77,100,8.05,PE,overcast clouds
184,Asyut,27.181,31.1837,88.7,28,0,8.7,EG,clear sky
185,Talnakh,69.4865,88.3972,30.38,85,87,12.73,RU,overcast clouds
186,Faya,18.3851,42.4509,73.92,32,3,7.4,SA,clear sky
187,North Bend,43.4065,-124.2243,62.51,78,0,14.97,US,clear sky
188,Faanui,-16.4833,-151.75,78.6,73,13,20.65,PF,few clouds
189,Chapais,49.7834,-74.8492,71.24,31,7,3.65,CA,clear sky
190,Bintulu,3.1667,113.0333,75.22,94,100,2.21,MY,moderate rain
191,Assiniboia,49.6334,-105.9845,67.01,27,96,18.75,CA,overcast clouds
192,Poggibonsi,43.4724,11.1456,79.83,76,92,3.0,IT,overcast clouds
193,Hithadhoo,-0.6,73.0833,81.57,72,79,13.22,MV,broken clouds
194,Idar,49.7167,7.3,64.69,75,81,5.86,DE,broken clouds
195,De Haan,51.272,3.0429,66.18,79,20,8.05,BE,few clouds
196,Uglekamensk,43.2172,133.2303,55.72,85,0,2.77,RU,clear sky
197,Revda,56.801,59.9303,42.78,92,100,4.97,RU,overcast clouds
198,Vizinga,61.0749,50.1031,35.8,86,72,4.05,RU,broken clouds
199,Vaini,-21.2,-175.2,73.56,94,20,4.61,TO,few clouds
200,Gamba,-2.65,10.0,74.62,84,66,7.05,GA,broken clouds
201,Normandin,48.8333,-72.5321,74.95,44,6,4.81,CA,clear sky
202,Atlantis,-33.5667,18.4834,57.99,80,24,8.43,ZA,few clouds
203,Rawah,34.4816,41.9093,93.92,20,0,9.04,IQ,clear sky
204,Okhotsk,59.3833,143.3,50.76,85,100,7.02,RU,overcast clouds
205,Padang,-0.9492,100.3543,76.46,77,100,4.14,ID,overcast clouds
206,Silver City,32.7701,-108.2803,81.68,34,0,5.75,US,clear sky
207,Saint George,37.1041,-113.5841,98.64,26,0,4.0,US,clear sky
208,Baft,29.234,56.6057,72.28,38,0,4.45,IR,clear sky
209,Pacific Grove,36.6177,-121.9166,92.39,74,0,5.75,US,clear sky
210,Whyalla,-33.0333,137.5833,55.69,83,81,22.1,AU,broken clouds
211,Houma,29.5958,-90.7195,84.0,76,0,3.44,US,clear sky
212,Ust-Uda,54.1742,103.0304,52.81,81,100,2.33,RU,light rain
213,Portland,45.5234,-122.6762,69.82,65,20,5.99,US,few clouds
214,Santa Lucia,27.9117,-15.5407,70.92,65,20,32.21,ES,few clouds
215,Tuy Hoa,13.0833,109.3,77.29,91,82,3.29,VN,broken clouds
