City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
247,Camacha,33.0833,-16.3333,74.62,65,20,9.22,PT,2022-09-05 17:34:08
248,Ewa Beach,21.3156,-158.0072,79.43,74,0,6.91,US,2022-09-05 17:29:46
249,Andilamena,-17.0167,48.5833,57.69,92,61,9.86,MG,2022-09-05 17:34:09
250,Anadyr,64.75,177.4833,37.9,100,75,15.66,RU,2022-09-05 17:34:09
251,Maneadero,31.7167,-116.5667,81.1,80,63,4.0,MX,2022-09-05 17:34:10
252,Thompson,55.7435,-97.8558,75.36,57,20,9.22,CA,2022-09-05 17:34:10
253,Moerai,-22.4333,-151.3333,73.62,79,47,19.75,PF,2022-09-05 17:34:10
254,Milkovo,54.7167,158.6167,49.41,76,100,6.53,RU,2022-09-05 17:34:11
255,Zheshart,62.0731,49.5733,42.62,82,100,4.5,RU,2022-09-05 17:34:11
256,Palmer,42.1584,-72.3287,73.2,84,100,6.91,US,2022-09-05 17:34:11
257,Husavik,66.0449,-17.3389,56.25,70,100,4.07,IS,2022-09-05 17:34:11
258,Gasa,31.5,34.4667,79.88,69,0,3.98,PS,2022-09-05 17:32:57
259,Astana,51.1801,71.446,73.35,33,20,11.18,KZ,2022-09-05 17:34:12
260,Escanaba,45.7453,-87.0646,71.51,59,0,6.91,US,2022-09-05 17:34:12
261,Mapimi,25.8167,-103.85,65.95,84,100,6.62,MX,2022-09-05 17:34:12
262,Port Hueneme,34.1478,-119.1951,102.52,54,0,13.8,US,2022-09-05 17:34:13
263,Aviles,43.5547,-5.9248,77.38,64,20,6.91,ES,2022-09-05 17:34:13
264,Maksatikha,57.797,35.8825,42.76,87,95,5.32,RU,2022-09-05 17:34:13
265,Bandar-E Lengeh,26.5579,54.8807,89.71,79,0,6.91,IR,2022-09-05 17:34:14
266,Raga,8.4596,25.678,71.91,94,63,3.69,SS,2022-09-05 17:34:14
267,Ziarat,30.3823,67.7282,62.82,63,0,2.57,PK,2022-09-05 17:34:14
268,Port Keats,-14.25,129.55,71.46,85,28,1.81,AU,2022-09-05 17:34:15
269,Vila Velha,-20.3297,-40.2925,71.55,82,75,10.36,BR,2022-09-05 17:34:15
270,Longyearbyen,78.2186,15.6401,40.84,81,75,6.91,SJ,2022-09-05 17:34:16
271,Sao Miguel,-5.4667,-35.3667,79.57,73,57,19.75,BR,2022-09-05 17:34:16
272,Honningsvag,70.9821,25.9704,47.95,87,75,17.27,NO,2022-09-05 17:35:16
273,Wamba,8.9333,8.6,74.95,89,71,4.18,NG,2022-09-05 17:35:17
274,Lompoc,34.6391,-120.4579,97.7,40,0,3.44,US,2022-09-05 17:30:58
275,Port Lincoln,-34.7333,135.8667,53.28,79,50,11.7,AU,2022-09-05 17:35:17
276,Yaan,7.3833,8.5667,76.26,88,60,5.91,NG,2022-09-05 17:35:17
277,Marawi,7.9986,124.2928,68.16,94,100,2.13,PH,2022-09-05 17:35:17
278,San Carlos De Bariloche,-41.1456,-71.3082,58.75,26,0,9.22,AR,2022-09-05 17:35:18
279,Ahipara,-35.1667,173.1667,52.7,74,66,23.24,NZ,2022-09-05 17:35:18
280,Gizo,-8.103,156.8419,80.29,78,53,4.16,SB,2022-09-05 17:35:18
281,Cherskiy,68.75,161.3,36.97,93,100,7.45,RU,2022-09-05 17:35:19
282,Hirara,24.8,125.2833,83.73,82,100,17.87,JP,2022-09-05 17:35:19
283,Olga,43.7444,135.2892,63.25,99,100,3.78,RU,2022-09-05 17:35:19
284,Dhidhdhoo,6.8833,73.1,78.98,81,100,26.96,MV,2022-09-05 17:35:19
285,Rawlins,41.7911,-107.2387,82.35,17,0,5.75,US,2022-09-05 17:35:20
286,Mareeba,-17.0,145.4333,63.32,88,9,1.7,AU,2022-09-05 17:35:20
287,Kismayo,-0.3582,42.5454,75.16,80,1,16.71,SO,2022-09-05 17:35:20
